from_window_size,to_window_size,from_segment,to_segment,from_dominant,to_dominant,from_interval,to_interval,overlap_lines,center_shift,width_change,relation_type,boundary_note
25,40,134,,stable,,41301-41325,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,135,,residual,,41326-41675,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,136,,stable,,41676-41700,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,140,,stable,,43576-43600,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,142,,stable,,44326-44350,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,143,,residual,,44351-44525,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,144,,stable,,44526-44550,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,145,,residual,,44551-45200,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,146,,stable,,45201-45225,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,147,,residual,,45226-45475,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,149,,residual,,45501-45850,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,150,,stable,,45851-45875,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,151,,residual,,45876-46125,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,152,,stable,,46126-46150,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,153,,residual,,46151-46500,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,154,,stable,,46501-46525,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,156,,stable,,48001-48025,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,157,,residual,,48026-48475,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,158,,stable,,48476-48500,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,159,,residual,,48501-49050,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,161,,residual,,49076-50225,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,162,,stable,,50226-50250,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,163,,residual,,50251-50975,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,164,,stable,,50976-51000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,165,,residual,,51001-51100,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,166,,stable,,51101-51125,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,167,,residual,,51126-51650,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,168,,stable,,51651-51675,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,171,,residual,,54301-54550,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,172,,stable,,54551-54575,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,173,,residual,,54576-54825,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,174,,stable,,54826-54850,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,175,,residual,,54851-55100,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,176,,stable,,55101-55125,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,178,,stable,,56051-56075,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,179,,residual,,56076-56125,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,180,,stable,,56126-56150,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,182,,stable,,56601-56625,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,183,,residual,,56626-57000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,185,,residual,,57051-57200,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,186,,stable,,57201-57225,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,188,,stable,,57576-57600,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,189,,residual,,57601-57950,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,190,,stable,,57951-57975,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,194,,stable,,59101-59125,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,196,,stable,,59576-59600,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,197,,residual,,59601-59850,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,198,,stable,,59851-59875,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,200,,stable,,60526-60550,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,202,,stable,,60976-61000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,203,,residual,,61001-61075,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,204,,stable,,61076-61100,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,205,,residual,,61101-61250,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,208,,stable,,61901-61925,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,209,,residual,,61926-62175,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,210,,stable,,62176-62200,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,212,,stable,,63951-63975,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,213,,residual,,63976-64225,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,214,,stable,,64226-64250,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,215,,residual,,64251-64325,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,216,,stable,,64326-64350,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,217,,residual,,64351-64500,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,218,,stable,,64501-64525,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,219,,residual,,64526-64775,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,221,,residual,,64801-64975,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,222,,stable,,64976-65000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,223,,residual,,65001-65250,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,224,,stable,,65251-65275,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,225,,residual,,65276-65350,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,226,,stable,,65351-65375,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,227,,residual,,65376-65825,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,228,,stable,,65826-65850,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,229,,residual,,65851-66300,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,230,,stable,,66301-66325,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,231,,residual,,66326-66600,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,232,,stable,,66601-66625,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,233,,residual,,66626-67250,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,234,,stable,,67251-67275,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,236,,stable,,68101-68125,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,237,,residual,,68126-68375,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,241,,residual,,68726-68875,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,242,,stable,,68876-68900,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,243,,residual,,68901-68975,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,244,,stable,,68976-69000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,246,,stable,,69651-69675,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,247,,residual,,69676-69925,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,248,,stable,,69926-69950,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,249,,residual,,69951-70000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,250,,stable,,70001-70025,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,251,,residual,,70026-70100,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,252,,stable,,70101-70125,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,253,,residual,,70126-70475,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,254,,stable,,70476-70500,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,255,,residual,,70501-70750,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,256,,stable,,70751-70775,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,258,,stable,,71951-71975,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,266,,stable,,74026-74050,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,270,,stable,,77901-77925,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,271,,residual,,77926-78275,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,272,,stable,,78276-78300,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,273,,residual,,78301-78650,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,274,,stable,,78651-78675,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,275,,residual,,78676-79400,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,276,,stable,,79401-79425,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,279,,residual,,80201-80650,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,280,,stable,,80651-80675,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,281,,residual,,80676-80850,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,282,,stable,,80851-80875,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,285,,residual,,81426-81500,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,286,,stable,,81501-81525,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,287,,residual,,81526-81700,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,288,,stable,,81701-81725,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,289,,residual,,81726-81800,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,290,,stable,,81801-81825,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,292,,stable,,82876-82900,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,293,,residual,,82901-82975,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,294,,stable,,82976-83000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,295,,residual,,83001-83250,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,296,,stable,,83251-83275,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,297,,residual,,83276-83525,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,298,,stable,,83526-83550,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,300,,stable,,84376-84400,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,301,,residual,,84401-84650,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,302,,stable,,84651-84675,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,303,,residual,,84676-84850,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,304,,stable,,84851-84875,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,305,,residual,,84876-84950,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,306,,stable,,84951-84975,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,307,,residual,,84976-85350,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,308,,stable,,85351-85375,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,309,,residual,,85376-85625,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,310,,stable,,85626-85650,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,311,,residual,,85651-85800,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,312,,stable,,85801-85825,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,313,,residual,,85826-85900,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,314,,stable,,85901-85925,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,316,,stable,,86726-86750,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,318,,stable,,87026-87050,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,322,,stable,,88251-88275,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,324,,stable,,89576-89600,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,326,,stable,,91551-91575,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,327,,residual,,91576-91625,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,328,,stable,,91626-91650,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,329,,residual,,91651-92275,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,332,,stable,,92851-92875,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,333,,residual,,92876-93125,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,334,,stable,,93126-93150,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,335,,residual,,93151-93225,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,336,,stable,,93226-93250,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,338,,stable,,93426-93450,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,342,,stable,,95701-95725,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,343,,residual,,95726-96075,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,344,,stable,,96076-96100,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,345,,residual,,96101-96350,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,346,,stable,,96351-96375,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,348,,stable,,97451-97475,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,349,,residual,,97476-97650,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,350,,stable,,97651-97675,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,351,,residual,,97676-98500,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,352,,stable,,98501-98525,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,354,,stable,,100176-100200,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,355,,residual,,100201-100475,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,356,,stable,,100476-100500,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,357,,residual,,100501-100750,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,358,,stable,,100751-100775,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,359,,residual,,100776-101600,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,360,,stable,,101601-101625,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,362,,stable,,103551-103575,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,363,,residual,,103576-103825,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,364,,stable,,103826-103850,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,365,,residual,,103851-104125,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,367,,residual,,104151-104400,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,368,,stable,,104401-104425,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,370,,stable,,105601-105625,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,371,,residual,,105626-105875,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,372,,stable,,105876-105900,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,373,,residual,,105901-106150,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,374,,stable,,106151-106175,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,375,,residual,,106176-106425,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,376,,stable,,106426-106450,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,378,,stable,,106701-106725,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,379,,residual,,106726-107275,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,380,,stable,,107276-107300,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,381,,residual,,107301-107650,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,382,,stable,,107651-107700,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,383,,residual,,107701-108225,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,384,,stable,,108226-108250,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,385,,residual,,108251-108500,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,386,,stable,,108501-108525,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,387,,residual,,108526-108700,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,388,,stable,,108701-108725,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,389,,residual,,108726-109075,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,390,,stable,,109076-109100,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,392,,stable,,110301-110325,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,393,,residual,,110326-110575,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,394,,stable,,110576-110600,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,395,,residual,,110601-110775,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,396,,stable,,110776-110800,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,397,,residual,,110801-111050,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,398,,stable,,111051-111075,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,400,,stable,,111901-111925,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,401,,residual,,111926-112000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,403,,residual,,112026-112375,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,404,,stable,,112376-112400,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,405,,residual,,112401-112575,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,406,,stable,,112576-112600,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,407,,residual,,112601-112850,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,408,,stable,,112851-112875,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,410,,stable,,113326-113350,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,411,,residual,,113351-113800,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,414,,stable,,114176-114200,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,415,,residual,,114201-114450,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,420,,stable,,116226-116250,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,421,,residual,,116251-116700,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,422,,stable,,116701-116725,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,423,,residual,,116726-116900,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,424,,stable,,116901-116925,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,425,,residual,,116926-117900,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,426,,stable,,117901-117925,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,428,,stable,,119101-119125,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,429,,residual,,119126-119300,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,430,,stable,,119301-119325,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,431,,residual,,119326-119500,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,432,,stable,,119501-119525,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,434,,stable,,121176-121200,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,435,,residual,,121201-121825,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,436,,stable,,121826-121850,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,438,,stable,,123051-123075,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,439,,residual,,123076-123375,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,3,1,residual,residual,201-3040,1-3700,2840,230.0,860,minor_deformation,observer-side boundary deformation under adjacent constitution transition
40,50,5,2,residual,stable,3081-4560,3701-3750,50,-95.0,-1430,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
40,50,9,3,residual,residual,5161-8240,3751-7200,2040,-1225.0,370,slow_drift,observer-side boundary deformation under adjacent constitution transition
40,50,9,4,residual,stable,5161-8240,7201-7250,50,525.0,-3030,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
40,50,11,5,residual,residual,8281-9640,7251-9650,1360,-510.0,1040,widening_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,12,6,stable,stable,9641-9680,9651-9700,30,15.0,10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,13,7,residual,residual,9681-10120,9701-10100,400,0.0,-40,stable_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,14,8,stable,stable,10121-10160,10101-10150,30,-15.0,10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,17,9,residual,residual,10281-12800,10151-17650,2520,2360.0,4980,widening_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,22,10,stable,stable,17641-17680,17651-17700,30,15.0,10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,23,11,residual,residual,17681-18760,17701-19400,1060,330.0,620,widening_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,25,12,residual,stable,18801-19720,19401-19450,50,165.0,-870,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
40,50,25,13,residual,residual,18801-19720,19451-19700,250,315.0,-670,thinning_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,26,14,stable,stable,19721-19760,19701-19750,30,-15.0,10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,27,15,residual,residual,19761-29880,19751-24400,4640,-2745.0,-5470,thinning_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,27,16,residual,stable,19761-29880,24401-24450,50,-395.0,-10070,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
40,50,27,17,residual,residual,19761-29880,24451-34800,5430,4805.0,230,slow_drift,observer-side boundary deformation under adjacent constitution transition
40,50,36,18,stable,stable,34801-34840,34801-34850,40,5.0,10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,37,19,residual,residual,34841-37000,34851-37000,2150,5.0,-10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,38,20,stable,stable,37001-37040,37001-37050,40,5.0,10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,39,21,residual,residual,37041-41280,37051-42700,4230,715.0,1410,minor_deformation,observer-side boundary deformation under adjacent constitution transition
40,50,42,22,stable,stable,42721-42760,42701-42750,30,-15.0,10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,45,23,residual,residual,43521-45480,42751-45450,1930,-400.0,740,slow_drift,observer-side boundary deformation under adjacent constitution transition
40,50,45,24,residual,stable,43521-45480,45451-45500,30,975.0,-1910,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
40,50,47,25,residual,residual,45521-49040,45501-46500,980,-1280.0,-2520,thinning_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,47,26,residual,stable,45521-49040,46501-46550,50,-755.0,-3470,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
40,50,49,27,residual,residual,49081-53720,46551-57000,4640,375.0,5810,widening_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,56,28,stable,stable,57001-57040,57001-57050,40,5.0,10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,71,29,residual,residual,64801-68360,57051-71950,3560,-2080.0,11340,widening_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,80,30,stable,stable,71961-72000,71951-72000,40,-5.0,10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,81,31,residual,residual,72001-72880,72001-73050,880,85.0,170,minor_deformation,observer-side boundary deformation under adjacent constitution transition
40,50,83,32,residual,stable,72921-73080,73051-73100,30,75.0,-110,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
40,50,113,33,residual,residual,89241-92280,73101-95700,3040,-6360.0,19560,widening_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,121,34,residual,stable,95361-99440,95701-95750,50,-1675.0,-4030,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
40,50,123,35,residual,residual,99481-104120,95751-104100,4620,-1875.0,3710,widening_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,124,36,stable,stable,104121-104160,104101-104150,30,-15.0,10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,125,37,residual,residual,104161-106680,104151-107650,2520,480.0,980,minor_deformation,observer-side boundary deformation under adjacent constitution transition
40,50,127,38,residual,stable,106721-111240,107651-107700,50,-1305.0,-4470,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
40,50,127,39,residual,residual,106721-111240,107701-109050,1350,-605.0,-3170,thinning_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,127,40,residual,stable,106721-111240,109051-109100,50,95.0,-4470,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
40,50,127,41,residual,residual,106721-111240,109101-112000,2140,1570.0,-1620,thinning_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,130,42,stable,stable,112001-112040,112001-112050,40,5.0,10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
